Date,Open,High,Low,Close,Adj Close,Volume
2021-11-30,462.0,464.0299987792969,455.29998779296875,455.55999755859375,435.9193420410156,148559600
2021-12-01,461.6400146484375,464.6700134277344,450.2900085449219,450.5,431.0775146484375,131939200
2021-12-02,450.7300109863281,459.07000732421875,450.30999755859375,457.3999938964844,437.6800231933594,127637800
2021-12-03,459.1700134277344,460.29998779296875,448.9200134277344,453.4200134277344,433.87158203125,137331600
2021-12-06,456.1300048828125,460.7900085449219,453.55999755859375,458.7900085449219,439.01007080078125,98977500
2021-12-07,464.4100036621094,468.8800048828125,458.6499938964844,468.2799987792969,448.0909423828125,95484700
2021-12-08,468.70001220703125,470.0,466.8299865722656,469.5199890136719,449.2774963378906,72238800
2021-12-09,468.1499938964844,469.6300048828125,466.1400146484375,466.3500061035156,446.244140625,61272600
2021-12-10,469.2300109863281,470.8999938964844,466.510009765625,470.739990234375,450.44482421875,77159800
2021-12-13,470.19000244140625,470.55999755859375,466.2699890136719,466.57000732421875,446.4547119140625,87724700
2021-12-14,463.0899963378906,465.739990234375,460.25,463.3599853515625,443.3830261230469,97264100
2021-12-15,463.4200134277344,470.8599853515625,460.739990234375,470.6000061035156,450.3109130859375,116899300
2021-12-16,472.57000732421875,472.8699951171875,464.79998779296875,466.45001220703125,446.3398132324219,116568600
2021-12-17,461.54998779296875,464.739990234375,458.05999755859375,459.8699951171875,441.5894775390625,135511600
2021-12-20,454.4800109863281,455.3999938964844,451.1400146484375,454.9800109863281,436.8939208984375,107134800
2021-12-21,458.6099853515625,463.2099914550781,456.30999755859375,463.05999755859375,444.65264892578125,69806300
2021-12-22,462.7900085449219,467.80999755859375,462.5799865722656,467.69000244140625,449.0986022949219,58890200
2021-12-23,468.75,472.19000244140625,468.6400146484375,470.6000061035156,451.8929443359375,56439700
2021-12-27,472.05999755859375,477.30999755859375,472.010009765625,477.260009765625,458.28826904296875,56808600
2021-12-28,477.7200012207031,478.80999755859375,476.05999755859375,476.8699951171875,457.9136962890625,47274600
2021-12-29,476.9800109863281,478.55999755859375,475.9200134277344,477.4800109863281,458.49945068359375,54503000
2021-12-30,477.92999267578125,479.0,475.6700134277344,476.1600036621094,457.23193359375,55329000
2021-12-31,475.6400146484375,476.8599853515625,474.6700134277344,474.9599914550781,456.07958984375,65237400
2022-01-03,476.29998779296875,477.8500061035156,473.8500061035156,477.7099914550781,458.7203369140625,72668200
2022-01-04,479.2200012207031,479.9800109863281,475.5799865722656,477.54998779296875,458.5666198730469,71178700
2022-01-05,477.1600036621094,477.9800109863281,468.2799987792969,468.3800048828125,449.7611999511719,104538900
2022-01-06,467.8900146484375,470.82000732421875,465.42999267578125,467.94000244140625,449.3387145996094,86858900
2022-01-07,467.95001220703125,469.20001220703125,464.6499938964844,466.0899963378906,447.5622253417969,85111600
2022-01-10,462.70001220703125,465.739990234375,456.6000061035156,465.510009765625,447.00531005859375,119362000
2022-01-11,465.2300109863281,469.8500061035156,462.04998779296875,469.75,451.0767517089844,74303100
2022-01-12,471.5899963378906,473.20001220703125,468.94000244140625,471.0199890136719,452.2962341308594,67605400
2022-01-13,472.19000244140625,472.8800048828125,463.44000244140625,464.5299987792969,446.06427001953125,91173100
