Price,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume
Ticker,BA,BTC-USD,EURUSD=X,GC=F,MSFT,^DJI,BA,BTC-USD,EURUSD=X,GC=F,MSFT,^DJI,BA,BTC-USD,EURUSD=X,GC=F,MSFT,^DJI,BA,BTC-USD,EURUSD=X,GC=F,MSFT,^DJI,BA,BTC-USD,EURUSD=X,GC=F,MSFT,^DJI
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-01,108.40665435791016,383.614990234375,1.262833595275879,1214.5999755859375,39.16696548461914,16804.7109375,110.75444025116084,391.3789978027344,1.2639987468719482,1217.800048828125,39.704548923829144,17041.16015625,108.09361623881006,380.7799987792969,1.2585740089416504,1205.5,39.1242973421961,16776.130859375,110.75444025116084,387.427001953125,1.2629133462905884,1207.699951171875,39.48268955679169,17040.4609375,5265200.0,26229400,0.0,178.0,38088400.0,104240000.0
2014-10-02,107.97188568115234,375.0719909667969,1.2624191045761108,1214.199951171875,39.04751968383789,16801.05078125,109.17186741300138,385.49700927734375,1.2690500020980835,1219.5,39.3376456265313,16857.25,107.68493295100308,372.9460144042969,1.2616099119186401,1210.300048828125,38.945123249688436,16674.0390625,108.17188484783773,383.9880065917969,1.2624987363815308,1215.300048828125,39.10725446347602,16808.26953125,3204500.0,21777700,0.0,176.0,25119400.0,75490000.0
2014-10-03,109.8761978149414,359.5119934082031,1.2670577764511108,1192.199951171875,39.329097747802734,17009.689453125,110.31966960455702,377.69500732421875,1.266993522644043,1212.4000244140625,39.50829224753871,17027.83984375,108.39796736173142,357.8590087890625,1.2501593828201294,1191.0,38.919508924782235,16802.19921875,108.39796736173142,375.1809997558594,1.266993522644043,1212.4000244140625,39.235233032191715,16802.19921875,3075900.0,30901200,0.0,499.0,32453200.0,87940000.0
2014-10-04,,328.8659973144531,,,,,,364.48699951171875,,,,,,325.885986328125,,,,,,359.8919982910156,,,,,,47236500,,,,
2014-10-05,,320.510009765625,,,,,,341.8009948730469,,,,,,289.2959899902344,,,,,,328.9159851074219,,,,,,83308096,,,,
2014-10-06,109.78926086425781,330.0790100097656,1.2513607740402222,1206.699951171875,39.329097747802734,16991.91015625,110.59794171631907,345.1340026855469,1.2593204975128174,1208.0,39.50829224753871,17099.390625,109.02405348261468,302.55999755859375,1.2515017986297607,1182.800048828125,39.18403320864317,16930.380859375,110.51098150721779,320.3890075683594,1.2515017986297607,1187.699951171875,39.3546960320157,17010.33984375,2681000.0,79011800,0.0,415.0,20604000.0,655450000.0
2014-10-07,107.23278045654297,336.18701171875,1.264606237411499,1211.699951171875,38.85124588012695,16719.390625,109.14578556795816,339.24700927734375,1.266430377960205,1211.699951171875,39.19257155662607,16988.25,107.20669504848047,320.48199462890625,1.258469581604004,1205.300048828125,38.75738115633355,16715.7890625,109.14578556795816,330.5840148925781,1.2643983364105225,1209.0999755859375,39.13284005150716,16988.25,3554900.0,49199900,0.0,272.0,25723700.0,79420000.0
2014-10-08,108.67623138427734,352.94000244140625,1.266800880432129,1205.300048828125,39.91788101196289,16994.220703125,108.7718756659869,354.364013671875,1.2690999507904053,1217.9000244140625,40.01174572743613,17006.91015625,106.2154062478651,327.18798828125,1.2624493837356567,1205.300048828125,38.68911454470513,16663.259765625,107.36321060383237,336.1159973144531,1.266800880432129,1210.199951171875,38.80857754435375,16718.650390625,3610300.0,54736300,0.0,9.0,33031000.0,106930000.0
2014-10-09,106.74585723876953,365.0260009765625,1.2743074893951416,1224.5999755859375,39.124305725097656,16659.25,108.47625821771106,382.72601318359375,1.2793008089065552,1229.0,39.934951777993334,16989.369140625,106.35455613445792,347.68701171875,1.2677806615829468,1223.9000244140625,39.03044425497375,16649.0390625,108.45017280425036,352.74798583984375,1.2738852500915527,1223.9000244140625,39.67895914421653,16989.369140625,4874700.0,83641104,0.0,19.0,34422800.0,93210000.0
2014-10-10,105.65019226074219,361.56201171875,1.2689067125320435,1221.0,37.571285247802734,16544.099609375,107.26755375941495,375.0669860839844,1.2716013193130493,1223.5,39.354705508485395,16757.599609375,105.65019226074219,352.9630126953125,1.2610498666763306,1217.0,37.50302205508976,16543.91015625,106.84147665229887,364.68701171875,1.2689067125320435,1223.5,38.91098336291919,16654.880859375,4214200.0,43665700,0.0,186.0,51978100.0,136370000.0
2014-10-11,,362.29901123046875,,,,,,367.1910095214844,,,,,,355.95098876953125,,,,,,361.36199951171875,,,,,,13345200,,,,
2014-10-12,,378.54901123046875,,,,,,379.4330139160156,,,,,,356.1440124511719,,,,,,362.6059875488281,,,,,,17552800,,,,
2014-10-13,104.73719787597656,390.41400146484375,1.263982892036438,1229.300048828125,37.24702835083008,16321.0703125,107.11976744666825,397.22601318359375,1.269999384880066,1234.0,38.023541270210266,16602.41015625,104.5719880401504,368.8970031738281,1.2635036706924438,1227.0,37.110498714074986,16310.4697265625,106.12848189517581,377.9209899902344,1.2640947103500366,1229.800048828125,37.392089665765916,16535.4296875,3878600.0,35221400,0.0,103.0,37100200.0,107830000.0
2014-10-14,106.33714294433594,400.8699951171875,1.272394061088562,1233.5999755859375,37.31529998779297,16315.1904296875,107.27625741182487,411.697998046875,1.2732040882110596,1235.9000244140625,37.869953593660675,16463.669921875,104.97195134468579,391.3240051269531,1.264080286026001,1233.5999755859375,37.170238640023165,16273.6396484375,105.94584193248285,391.6919860839844,1.272248387336731,1235.9000244140625,37.43476304010317,16321.900390625,3768200.0,38491500,0.0,73.0,38115700.0,110410000.0
