Date,BA,BTC-USD,EURUSD=X,GC=F,MSFT,^DJI
2019-12-04,346.7767639160156,7252.03466796875,1.1085245609283447,1474.0,143.329345703125,27649.779296875
2019-12-05,343.6354675292969,7448.3076171875,1.108303427696228,1476.9000244140625,143.4058837890625,27677.7890625
2019-12-06,351.9957275390625,7546.99658203125,1.1105434894561768,1459.0999755859375,145.14666748046875,28015.060546875
2019-12-07,,7556.23779296875,,,,
2019-12-08,,7564.34521484375,,,,
2019-12-09,349.13275146484375,7400.8994140625,1.105888843536377,1459.300048828125,144.77366638183594,27909.599609375
2019-12-10,345.84234619140625,7278.11962890625,1.106499433517456,1462.5999755859375,144.5536651611328,27881.720703125
2019-12-11,347.929931640625,7217.42724609375,1.1092746257781982,1469.4000244140625,145.0988006591797,27911.30078125
2019-12-12,344.24188232421875,7243.13427734375,1.1135857105255127,1466.699951171875,146.57183837890625,28132.05078125
2019-12-13,339.6492004394531,7269.6845703125,1.1186057329177856,1475.5999755859375,147.80567932128906,28135.380859375
2019-12-14,,7124.673828125,,,,
2019-12-15,,7152.3017578125,,,,
2019-12-16,325.0659484863281,6932.48046875,1.1124460697174072,1475.0,148.76219177246094,28235.890625
2019-12-17,325.0659484863281,6640.51513671875,1.1136974096298218,1474.5999755859375,147.9586944580078,28267.16015625
2019-12-18,328.72418212890625,7276.802734375,1.115138053894043,1472.5999755859375,147.6526641845703,28239.279296875
2019-12-19,331.5274963378906,7202.84423828125,1.1115927696228027,1478.199951171875,148.9343719482422,28376.9609375
2019-12-20,326.0600280761719,7218.81640625,1.1125946044921875,1474.699951171875,150.56036376953125,28455.08984375
2019-12-21,,7191.15869140625,,,,
2019-12-22,,7511.5888671875,,,,
2019-12-23,335.5535583496094,7355.62841796875,1.1079840660095215,1482.5,150.56036376953125,28551.529296875
2019-12-24,331.03045654296875,7322.5322265625,1.109385371208191,1499.0999755859375,150.53170776367188,28515.44921875
2019-12-25,,7275.15576171875,1.1090162992477417,,,
2019-12-26,327.96868896484375,7238.966796875,1.1095454692840576,1509.300048828125,151.76553344726562,28621.390625
2019-12-27,328.1874084472656,7290.08837890625,1.110111951828003,1513.800048828125,152.04293823242188,28645.259765625
2019-12-28,,7317.990234375,,,,
2019-12-29,,7422.65283203125,,,,
2019-12-30,324.4695129394531,7292.9951171875,1.1182304620742798,1514.5,150.73255920410156,28462.140625
2019-12-31,323.83331298828125,7193.59912109375,1.120229721069336,1519.5,150.8377685546875,28538.439453125
2020-01-01,,7200.17431640625,1.1220825910568237,,,
2020-01-02,331.34857177734375,6985.47021484375,1.1220825910568237,1524.5,153.6306610107422,28868.80078125
2020-01-03,330.7919006347656,7344.88427734375,1.1171437501907349,1549.199951171875,151.71771240234375,28634.880859375
2020-01-04,,7410.65673828125,,,,
2020-01-05,,7411.3173828125,,,,
2020-01-06,331.7660827636719,7769.21923828125,1.1161960363388062,1566.199951171875,152.1099395751953,28703.380859375
2020-01-07,335.28515625,8163.6923828125,1.1197994947433472,1571.800048828125,150.7229766845703,28583.6796875
2020-01-08,329.41009521484375,8079.86279296875,1.1154738664627075,1557.4000244140625,153.12374877929688,28745.08984375
2020-01-09,334.3507080078125,7879.0712890625,1.1113210916519165,1551.699951171875,155.03672790527344,28956.900390625
2020-01-10,327.96868896484375,8166.55419921875,1.1111111640930176,1557.5,154.31939697265625,28823.76953125
2020-01-11,,8037.53759765625,,,,
2020-01-12,,8192.494140625,,,,
2020-01-13,328.26690673828125,8144.1943359375,1.1116669178009033,1548.4000244140625,156.17495727539062,28907.05078125
2020-01-14,330.3843078613281,8827.7646484375,1.1135733127593994,1542.4000244140625,155.07501220703125,28939.669921875
2020-01-15,327.8493957519531,8807.0107421875,1.113089919090271,1552.0999755859375,156.0792694091797,29030.220703125
2020-01-16,330.036376953125,8723.7861328125,1.1154004335403442,1549.0,158.93919372558594,29297.640625
2020-01-17,322.2328186035156,8929.0380859375,1.1139578819274902,1558.800048828125,159.8287353515625,29348.099609375
2020-01-18,,8942.80859375,,,,
2020-01-19,,8706.2451171875,,,,
2020-01-20,,8657.642578125,1.1094592809677124,,,
2020-01-21,311.5165710449219,8745.89453125,1.109693169593811,1556.4000244140625,159.25479125976562,29196.0390625
2020-01-22,307.17242431640625,8680.8759765625,1.108561396598816,1555.300048828125,158.4896697998047,29186.26953125
2020-01-23,315.9104309082031,8406.515625,1.1096439361572266,1564.5999755859375,159.46522521972656,29160.08984375
2020-01-24,321.1393127441406,8445.4345703125,1.1055220365524292,1571.0999755859375,157.8583526611328,28989.73046875
2020-01-25,,8367.84765625,,,,
2020-01-26,,8596.830078125,,,,
2020-01-27,314.72747802734375,8909.8193359375,1.1025358438491821,1576.800048828125,155.21847534179688,28535.80078125
2020-01-28,314.6877136230469,9358.58984375,1.101976990699768,1569.199951171875,158.2600860595703,28722.849609375
2020-01-29,320.1153869628906,9316.6298828125,1.1022562980651855,1569.800048828125,160.72779846191406,28734.44921875
2020-01-30,321.3878173828125,9508.9931640625,1.1016855239868164,1583.5,165.26153564453125,28859.439453125
2020-01-31,316.3875732421875,9350.529296875,1.1029127836227417,1582.9000244140625,162.82252502441406,28256.029296875
2020-02-01,,9392.875,,,,
2020-02-02,,9344.365234375,,,,
2020-02-03,314.1310119628906,9293.521484375,1.1089794635772705,1577.199951171875,166.7919158935547,28399.810546875
2020-02-04,316.0595397949219,9180.962890625,1.1062926054000854,1550.4000244140625,172.2821807861328,28807.630859375
2020-02-05,327.6008605957031,9613.423828125,1.1047282218933105,1557.800048828125,172.0717315673828,29290.849609375
2020-02-06,339.4106140136719,9729.8017578125,1.1002310514450073,1565.0999755859375,175.63946533203125,29379.76953125
2020-02-07,334.75830078125,9795.943359375,1.0982975959777832,1568.5999755859375,175.8881072998047,29102.509765625
2020-02-08,,9865.119140625,,,,
2020-02-09,,10116.673828125,,,,
2020-02-10,342.6314697265625,9856.611328125,1.0949305295944214,1574.699951171875,180.48876953125,29276.8203125
2020-02-11,342.3829345703125,10208.236328125,1.0913456678390503,1565.5999755859375,176.41415405273438,29276.33984375
2020-02-12,345.39501953125,10326.0546875,1.091941475868225,1567.4000244140625,176.6724395751953,29551.419921875
2020-02-13,342.82000732421875,10214.3798828125,1.0875948667526245,1575.0999755859375,175.71595764160156,29423.310546875
2020-02-14,340.489990234375,10312.1162109375,1.0845986604690552,1582.699951171875,177.28457641601562,29398.080078125
2020-02-15,,9889.4248046875,,,,
2020-02-16,,9934.43359375,,,,
2020-02-17,,9690.142578125,1.0841753482818604,,,
2020-02-18,338.8800048828125,10141.99609375,1.0840108394622803,1600.0,179.08274841308594,29232.189453125
2020-02-19,338.29998779296875,9633.38671875,1.079540491104126,1607.5,179.6198272705078,29348.029296875
2020-02-20,336.2799987792969,9608.4755859375,1.081009864807129,1616.5999755859375,176.87686157226562,29219.98046875
2020-02-21,330.3800048828125,9686.44140625,1.078799843788147,1644.5999755859375,171.28529357910156,28992.41015625
2020-02-22,,9663.181640625,,,,
2020-02-23,,9924.515625,,,,
2020-02-24,317.8999938964844,9650.1748046875,1.0839051008224487,1672.4000244140625,163.9002227783203,27960.80078125
2020-02-25,304.1400146484375,9341.705078125,1.0849199295043945,1646.9000244140625,161.1956024169922,27081.359375
2020-02-26,305.5899963378906,8820.5224609375,1.0881996154785156,1640.0,163.20970153808594,26957.58984375
2020-02-27,287.760009765625,8784.494140625,1.0885894298553467,1640.0,151.7100830078125,25766.640625
2020-02-28,275.1099853515625,8672.455078125,1.0997228622436523,1564.0999755859375,155.3834686279297,25409.359375
2020-02-29,,8599.5087890625,,,,
2020-03-01,,8562.4541015625,,,,
2020-03-02,289.2699890136719,8869.669921875,1.1051311492919922,1592.300048828125,165.72254943847656,26703.3203125
2020-03-03,280.6199951171875,8787.7861328125,1.1144047975540161,1642.0999755859375,157.7812042236328,25917.41015625
2020-03-04,283.1199951171875,8755.24609375,1.118067979812622,1641.0999755859375,163.57415771484375,27090.859375
2020-03-05,260.3699951171875,9078.7626953125,1.113908290863037,1666.4000244140625,159.46925354003906,26121.279296875
2020-03-06,262.3299865722656,9122.5458984375,1.1223849058151245,1670.800048828125,154.96142578125,25864.779296875
2020-03-07,,8909.9541015625,,,,
2020-03-08,,8108.1162109375,,,,
2020-03-09,227.1699981689453,7923.64453125,1.1386020183563232,1674.5,144.4593505859375,23851.01953125
2020-03-10,231.00999450683594,7909.7294921875,1.1397960186004639,1659.0999755859375,154.3380126953125,25018.16015625
2020-03-11,189.0800018310547,7911.43017578125,1.1316505670547485,1641.4000244140625,147.34620666503906,23553.220703125
2020-03-12,154.83999633789062,4970.7880859375,1.1261515617370605,1589.300048828125,133.3721466064453,21200.619140625
2020-03-13,170.1999969482422,5563.70703125,1.1184931993484497,1515.699951171875,152.33352661132812,23185.619140625
2020-03-14,,5200.3662109375,,,,
2020-03-15,,5392.31494140625,,,,
2020-03-16,129.61000061035156,5014.47998046875,1.115536093711853,1485.9000244140625,129.8810272216797,20188.51953125
2020-03-17,124.13999938964844,5225.62939453125,1.1163206100463867,1524.9000244140625,140.5749969482422,21237.380859375
2020-03-18,101.88999938964844,5238.4384765625,1.101552128791809,1477.300048828125,134.6573486328125,19898.919921875
2020-03-19,97.70999908447266,6191.19287109375,1.0961546897888184,1478.5999755859375,136.87286376953125,20087.189453125
2020-03-20,95.01000213623047,6198.7783203125,1.0657345056533813,1484.0,131.73214721679688,19173.98046875
2020-03-21,,6185.06640625,,,,
2020-03-22,,5830.2548828125,,,,
2020-03-23,105.62000274658203,6416.31494140625,1.0694386959075928,1567.0,130.41810607910156,18591.9296875
2020-03-24,127.68000030517578,6734.8037109375,1.0764610767364502,1660.199951171875,142.27259826660156,20704.91015625
2020-03-25,158.72999572753906,6681.06298828125,1.080263614654541,1632.300048828125,140.91065979003906,21200.55078125
2020-03-26,180.5500030517578,6716.4404296875,1.0889569520950317,1650.0999755859375,149.7248077392578,22552.169921875
2020-03-27,162.0,6469.79833984375,1.1048258543014526,1623.9000244140625,143.57696533203125,21636.779296875
2020-03-28,,6242.19384765625,,,,
2020-03-29,,5922.04296875,,,,
2020-03-30,152.27999877929688,6429.841796875,1.113908290863037,1622.0,153.67623901367188,22327.48046875
2020-03-31,149.13999938964844,6438.64453125,1.1030466556549072,1583.4000244140625,151.25933837890625,21917.16015625
2020-04-01,130.6999969482422,6606.7763671875,1.102657437324524,1578.199951171875,145.88841247558594,20943.509765625
2020-04-02,123.2699966430664,6793.62451171875,1.0953621864318848,1625.699951171875,148.9095458984375,21413.439453125
2020-04-03,124.5199966430664,6733.38720703125,1.0847399234771729,1633.699951171875,147.53805541992188,21052.529296875
2020-04-04,,6867.52734375,,,,
2020-04-05,,6791.12939453125,,,,
2020-04-06,148.77000427246094,7271.78125,1.0806955099105835,1677.0,158.5101318359375,22679.990234375
2020-04-07,141.5800018310547,7176.41455078125,1.0803803205490112,1664.800048828125,156.80294799804688,22653.859375
2020-04-08,146.8699951171875,7334.0986328125,1.0895144939422607,1665.4000244140625,158.3758544921875,23433.5703125
2020-04-09,151.83999633789062,7302.08935546875,1.0863661766052246,1736.199951171875,158.38543701171875,23719.369140625
2020-04-10,,6865.4931640625,1.0927408933639526,,,
2020-04-11,,6859.0830078125,,,,
2020-04-12,,6971.091796875,,,,
2020-04-13,147.3300018310547,6845.03759765625,1.0932666063308716,1744.800048828125,158.74029541015625,23390.76953125
2020-04-14,141.0,6842.427734375,1.0922993421554565,1756.699951171875,166.5952911376953,23949.759765625
2020-04-15,145.97999572753906,6642.10986328125,1.098538875579834,1727.199951171875,164.8497772216797,23504.349609375
2020-04-16,134.24000549316406,7116.80419921875,1.0905101299285889,1720.4000244140625,169.79869079589844,23537.6796875
2020-04-17,154.0,7096.1845703125,1.0858471393585205,1689.199951171875,171.29489135742188,24242.490234375
2020-04-18,,7257.6650390625,,,,
2020-04-19,,7189.4248046875,,,,
2020-04-20,143.61000061035156,6881.95849609375,1.0866966247558594,1701.5999755859375,167.89968872070312,23650.439453125
2020-04-21,136.3300018310547,6880.3232421875,1.0864840745925903,1678.199951171875,160.955810546875,23018.880859375
2020-04-22,134.97000122070312,7117.20751953125,1.0856467485427856,1728.699951171875,166.4226837158203,23475.8203125
2020-04-23,137.74000549316406,7429.724609375,1.080964207649231,1733.300048828125,164.40855407714844,23515.259765625
2020-04-24,128.97999572753906,7550.90087890625,1.077702283859253,1723.5,167.41058349609375,23775.26953125
2020-04-25,,7569.93603515625,,,,
2020-04-26,,7679.8671875,,,,
2020-04-27,128.67999267578125,7795.60107421875,1.08236825466156,1711.9000244140625,166.93099975585938,24133.779296875
2020-04-28,131.3000030517578,7807.05859375,1.0824854373931885,1710.5,162.8644256591797,24101.55078125
2020-04-29,139.0,8801.0380859375,1.0836584568023682,1703.4000244140625,170.17274475097656,24633.859375
2020-04-30,141.02000427246094,8658.5537109375,1.087725043296814,1684.199951171875,171.8799591064453,24345.720703125
2020-05-01,133.3699951171875,8864.7666015625,1.094546914100647,1694.5,167.4297637939453,23723.689453125
2020-05-02,,8988.5966796875,,,,
2020-05-03,,8897.46875,,,,
2020-05-04,131.4600067138672,8912.654296875,1.0959625244140625,1706.9000244140625,171.5251007080078,23749.759765625
2020-05-05,125.4000015258789,9003.0703125,1.0904293060302734,1704.4000244140625,173.3665313720703,23883.08984375
2020-05-06,121.86000061035156,9268.76171875,1.0838581323623657,1684.199951171875,175.07374572753906,23664.640625
2020-05-07,128.64999389648438,9951.5185546875,1.0798553228378296,1721.800048828125,176.0904083251953,23875.890625
2020-05-08,133.44000244140625,9842.666015625,1.0837171077728271,1709.9000244140625,177.126220703125,24331.3203125
2020-05-09,,9593.896484375,,,,
2020-05-10,,8756.4306640625,,,,
2020-05-11,128.91000366210938,8601.7958984375,1.0839520692825317,1695.300048828125,179.1020050048828,24221.990234375
2020-05-12,125.22000122070312,8804.4775390625,1.080940842628479,1704.4000244140625,175.0449981689453,23764.779296875
2020-05-13,121.5,9269.9873046875,1.0846810340881348,1713.9000244140625,172.3978729248047,23247.970703125
2020-05-14,122.5199966430664,9733.7216796875,1.08236825466156,1738.0999755859375,173.14593505859375,23625.33984375
2020-05-15,120.0,9328.197265625,1.0806955099105835,1753.4000244140625,175.66836547851562,23685.419921875
2020-05-16,,9377.013671875,,,,
2020-05-17,,9670.7392578125,,,,
2020-05-18,135.44000244140625,9726.5751953125,1.0821340084075928,1731.800048828125,177.34678649902344,24597.369140625
2020-05-19,130.44000244140625,9729.0380859375,1.0915124416351318,1744.199951171875,176.1191864013672,24206.859375
2020-05-20,133.32000732421875,9522.9814453125,1.0927767753601074,1750.5999755859375,178.56207275390625,24575.900390625
2020-05-21,139.0,9081.76171875,1.0982975959777832,1720.5,176.4173126220703,24474.119140625
2020-05-22,137.52999877929688,9182.5771484375,1.0952903032302856,1734.5999755859375,176.49423217773438,24465.16015625
2020-05-23,,9209.287109375,,,,
2020-05-24,,8790.3681640625,,,,
2020-05-25,,8906.9345703125,1.0907801389694214,,,
2020-05-26,144.72999572753906,8835.052734375,1.0902997255325317,1704.800048828125,174.62844848632812,24995.109375
2020-05-27,149.52000427246094,9181.017578125,1.0981770753860474,1710.300048828125,174.8592529296875,25548.26953125
2020-05-28,149.82000732421875,9525.7509765625,1.1016855239868164,1713.300048828125,174.4648895263672,25400.640625
2020-05-29,145.85000610351562,9439.1240234375,1.1079105138778687,1736.9000244140625,176.2441864013672,25383.109375
2020-05-30,,9700.4140625,,,,
2020-05-31,,9461.05859375,,,,
2020-06-01,151.38999938964844,10167.2685546875,1.1118524074554443,1737.800048828125,175.8402099609375,25475.01953125
2020-06-02,153.30999755859375,9529.8037109375,1.1125946044921875,1725.199951171875,177.84071350097656,25742.650390625
2020-06-03,173.16000366210938,9656.7177734375,1.118943691253662,1697.800048828125,178.27352905273438,26269.890625
2020-06-04,184.3000030517578,9800.63671875,1.1235954761505127,1718.9000244140625,175.92681884765625,26281.8203125
2020-06-05,205.42999267578125,9665.533203125,1.1337867975234985,1676.199951171875,180.0431671142578,27110.98046875
2020-06-06,,9653.6796875,,,,
2020-06-07,,9758.8525390625,,,,
2020-06-08,230.5,9771.4892578125,1.1319515705108643,1698.300048828125,181.15882873535156,27572.439453125
2020-06-09,216.74000549316406,9795.7001953125,1.1305567026138306,1714.699951171875,182.54376220703125,27272.30078125
